255,255,255,0
255,255,255,0
255,255,255,0
255,255,255,0
255,255,255,0
255,255,255,0
255,255,255,0
255,255,255,0
255,255,255,0
255,255,255,0
255,255,255,0
255,255,255,0
255,255,255,0
255,255,255,0
255,255,255,0
255,255,255,0
255,255,255,0
255,255,255,0
255,254,254,0
255,252,252,0
255,251,251,0
255,249,249,0
255,247,247,0
255,245,245,0
255,243,243,0
254,239,240,0
253,236,236,0
251,232,233,0
250,228,229,0
248,224,226,0
247,221,222,0
245,217,219,0
243,213,216,0
240,208,212,0
238,203,209,0
235,197,205,0
233,192,202,0
230,187,199,0
226,182,195,0
222,176,192,0
218,171,188,0
213,166,185,0
208,161,181,0
204,156,178,0
199,151,175,0
194,146,171,0
190,143,168,0
185,140,164,0
180,136,161,0
176,133,158,0
171,130,154,0
167,127,151,0
163,124,147,0
160,120,144,0
156,117,140,0
152,114,137,0
148,111,134,0
145,108,131,0
141,106,128,0
138,103,125,0
134,100,122,0
131,98,120,0
128,95,117,0
125,93,115,0
122,90,112,0
119,88,110,0
115,86,108,0
112,84,105,0
108,82,103,0
105,80,100,0
101,78,98,0
99,77,96,0
96,75,94,0
94,73,92,0
91,72,90,0
89,70,88,0
87,69,86,0
85,67,85,0
82,66,83,0
80,64,82,0
78,63,80,0
77,62,78,0
75,61,77,0
73,59,75,0
72,58,74,0
70,57,72,0
69,56,71,0
67,55,69,0
66,54,68,0
64,53,66,0
63,52,65,0
62,51,64,0
61,51,63,0
60,50,62,0
59,49,61,0
58,48,60,0
57,47,59,0
56,47,58,0
55,46,57,0
54,45,56,0
53,44,55,0
52,43,54,0
51,43,53,0
51,42,52,0
50,42,51,0
49,41,50,0
48,40,49,0
48,40,49,0
47,39,48,0
47,39,48,0
46,38,47,0
45,38,46,0
44,37,46,0
44,37,45,0
43,36,44,0
42,36,44,0
41,35,43,0
41,35,42,0
40,34,42,0
40,34,41,0
39,33,41,0
38,33,40,0
38,32,40,0
37,32,39,0
37,32,39,0
36,32,38,0
35,31,38,0
35,31,37,0
34,31,37,0
34,30,36,0
33,30,36,0
33,30,36,0
32,29,35,0
32,29,35,0
31,29,34,0
31,29,34,0
31,28,34,0
30,28,33,0
30,28,33,0
29,27,32,0
29,27,32,0
29,27,32,0
28,27,31,0
28,26,31,0
28,26,30,0
28,26,30,0
27,26,30,0
27,26,29,0
27,25,29,0
26,25,28,0
26,25,28,0
26,25,28,0
25,25,28,0
25,25,27,0
25,24,27,0
25,24,27,0
24,24,27,0
24,24,27,0
24,24,26,0
23,24,26,0
23,24,26,0
23,23,26,0
23,23,25,0
23,23,25,0
22,23,25,0
22,23,25,0
22,23,24,0
22,23,24,0
22,22,24,0
22,22,24,0
22,22,23,0
21,22,23,0
21,22,23,0
21,22,23,0
21,22,23,0
21,22,22,0
21,21,22,0
20,21,22,0
20,21,22,0
20,21,22,0
20,21,22,0
20,21,22,0
20,21,21,0
20,21,21,0
20,20,21,0
19,20,21,0
19,20,21,0
19,20,21,0
19,20,21,0
19,20,20,0
19,20,20,0
19,20,20,0
19,19,20,0
18,19,20,0
18,19,20,0
18,19,20,0
18,19,20,0
18,19,19,0
18,19,19,0
18,18,19,0
18,18,19,0
18,18,19,0
18,18,19,0
17,18,19,0
17,18,18,0
17,18,18,0
17,18,18,0
17,17,18,0
17,17,18,0
17,17,18,0
17,17,18,0
17,17,17,0
17,17,17,0
16,17,17,0
16,17,17,0
16,16,17,0
16,16,17,0
16,16,17,0
16,16,16,0
16,16,16,0
16,16,16,0
16,16,16,0
16,15,16,0
16,15,16,0
15,15,16,0
15,15,15,0
15,15,15,0
15,15,15,0
15,15,15,0
15,15,15,0
15,14,15,0
15,14,15,0
15,14,14,0
15,14,14,0
14,14,14,0
14,14,14,0
14,14,14,0
14,14,14,0
14,13,14,0
14,13,13,0
14,13,13,0
14,13,13,0
14,13,13,0
14,13,13,0
14,13,13,0
13,13,13,0
13,12,13,0
13,12,12,0
13,12,12,0
13,12,12,0
13,12,12,0
13,12,12,0
13,12,12,0
13,11,12,0
13,11,11,0
12,11,11,0
